iter	RMSE
0	68224.16051
1	66256.10189
2	64474.13389
3	62753.96196
4	60945.56365
5	59277.07063
6	57673.79462
7	56136.16298
8	54728.88757
9	53367.53084
10	52034.62819
11	50730.23351
12	49583.2647
13	48395.93106
14	47307.91489
15	46282.75725
16	45218.13369
17	44253.6452
18	43278.70148
19	42369.56724
20	41539.91011
21	40740.89816
22	39925.99018
23	39206.35729
24	38473.15532
25	37716.08921
26	37055.52075
27	36428.73367
28	35822.68825
29	35237.32998
30	34648.23567
31	34109.99825
32	33590.56689
33	33095.88479
34	32602.98253
35	32153.30264
36	31736.81044
37	31301.04151
38	30881.9118
39	30503.86405
40	30186.07377
41	29803.15653
42	29422.67917
43	29086.61741
44	28812.93534
45	28509.85492
46	28238.21567
47	28004.40644
48	27818.47009
49	27586.87061
50	27381.87544
51	27130.8676
52	26868.33816
53	26626.28315
54	26394.36289
55	26197.58405
56	26063.35919
57	25850.60529
58	25660.86105
59	25466.8541
60	25319.38302
61	25154.87029
62	25013.58243
63	24853.85798
64	24711.73705
65	24570.10276
66	24452.83214
67	24321.12479
68	24193.51274
69	24091.99485
70	23972.95459
71	23875.2672
72	23788.04337
73	23712.20979
74	23618.89388
75	23521.46097
76	23415.94083
77	23341.59691
78	23262.77439
79	23193.428
80	23100.35937
81	23030.70844
82	22952.88456
83	22871.07554
84	22817.61773
85	22759.94786
86	22670.98425
87	22616.35502
88	22556.42013
89	22486.36405
90	22435.9202
91	22396.165
92	22325.89684
93	22268.5482
94	22214.04216
95	22132.54613
96	22077.20142
97	22022.32787
98	21974.88964
99	21917.47737
100	21852.78916
101	21777.84337
102	21714.57869
103	21667.21364
104	21616.33404
105	21563.95526
106	21512.20758
107	21472.18009
108	21435.70245
109	21380.55512
110	21330.93942
111	21271.95178
112	21220.81463
113	21172.37131
114	21144.09933
115	21118.99582
116	21076.09127
117	21028.38127
118	20985.81535
119	20959.46832
120	20930.41087
121	20894.05724
122	20865.88801
123	20839.41509
124	20797.81762
125	20765.06312
126	20733.2194
127	20677.6332
128	20647.31114
129	20610.46963
130	20587.41637
131	20578.39323
132	20553.49947
133	20526.39754
134	20505.95312
135	20475.14366
136	20463.43039
137	20453.24896
138	20416.79987
139	20396.77386
140	20370.76965
141	20354.37558
142	20325.12506
143	20283.83395
144	20234.47396
145	20198.67426
146	20180.09803
147	20152.72159
148	20102.83813
149	20064.27323
150	20027.28169
151	20010.20739
152	19987.8224
153	19952.31785
154	19919.22125
